Código - Nome,Turma,Vagas,Número créditos aula teórica,Número de créditos aula prática,Número de turmas agrupadas aula teórica,Turmas teóricas agrupadas,Número de turmas agrupadas aula prática,Turmas práticas agrupadas,Número de professores,Professor,Formato,Indicação de professor,Indicação de Horário,Ambiente,Carga Didática,Vagas Efetivas,Observações
EMB5006 - Química Tecnológica,02601,25,2,2,2,02601/02604,2,02601/02604,1,Claudimir Antonio Carminatti,2+2,Departamento,Departamento,Sala Comum,2.00,25,
EMB5006 - Química Tecnológica,01602,25,2,2,2,01602/02605,2,01602/02605,1,Claudimir Antonio Carminatti,2+2,Departamento,Departamento,Sala Comum,2.00,25,
EMB5006 - Química Tecnológica,02603,25,2,2,2,02603/02606,2,02603/02606,1,Derce de Oliveira Souza Recouvreux,2+2,Departamento,Departamento,Sala Comum,2.00,25,
EMB5006 - Química Tecnológica,02604,25,2,2,2,02601/02604,2,02601/02604,1,Claudimir Antonio Carminatti,2+2,Departamento,Departamento,Sala Comum,2.00,25,
EMB5006 - Química Tecnológica,02605,25,2,2,2,01602/02605,2,01602/02605,1,Claudimir Antonio Carminatti,2+2,Departamento,Departamento,Sala Comum,2.00,25,
EMB5006 - Química Tecnológica,02606,25,2,2,2,02603/02606,2,02603/02606,1,Derce de Oliveira Souza Recouvreux,2+2,Departamento,Departamento,Sala Comum,2.00,25,
EMB5006 - Química Tecnológica,02607,25,2,2,2,02607/02608,2,02607/02608,1,Derce de Oliveira Souza Recouvreux,2+2,Departamento,Departamento,Sala Comum,2.00,25,
EMB5006 - Química Tecnológica,02608,25,2,2,2,02607/02608,2,02607/02608,1,Derce de Oliveira Souza Recouvreux,2+2,Departamento,Departamento,Sala Comum,2.00,25,
EMB5010 - Estatística e Probabilidade,03601,20,2,2,3,03601/03605/03608,3,03601/03605/03608,1,James Schipmann Eger,2+2,Departamento,Departamento,Sala Comum,1.33,20,
EMB5010 - Estatística e Probabilidade,03602,22,2,2,2,03602/03607,2,03602/03607,1,James Schipmann Eger,2+2,Departamento,Departamento,Sala Comum,2.00,22,
EMB5010 - Estatística e Probabilidade,04603,20,2,2,3,04603/03604/03606,3,04603/03604/03606,1,Luis Fernando Peres Calil,2+2,Departamento,Departamento,Sala Comum,1.33,20,
EMB5010 - Estatística e Probabilidade,03604,20,2,2,3,04603/03604/03606,3,04603/03604/03606,1,Luis Fernando Peres Calil,2+2,Departamento,Departamento,Sala Comum,1.33,20,
EMB5010 - Estatística e Probabilidade,03605,20,2,2,3,03601/03605/03608,3,03601/03605/03608,1,James Schipmann Eger,2+2,Departamento,Departamento,Sala Comum,1.33,20,
EMB5010 - Estatística e Probabilidade,03606,20,2,2,3,04603/03604/03606,3,04603/03604/03606,1,Luis Fernando Peres Calil,2+2,Departamento,Departamento,Sala Comum,1.33,20,
EMB5010 - Estatística e Probabilidade,03607,22,2,2,2,03602/03607,2,03602/03607,1,James Schipmann Eger,2+2,Departamento,Departamento,Sala Comum,2.00,22,
EMB5010 - Estatística e Probabilidade,03608,20,2,2,3,03601/03605/03608,3,03601/03605/03608,1,James Schipmann Eger,2+2,Departamento,Departamento,Sala Comum,1.33,20,
EMB5012 - Desenho e Modelagem Geométrica,02602,22,3,,3,02602/02604/05605,3,02602/02604/05605,1,Antônio Otaviano Dourado,3,Departamento,Departamento,Laboratório Informática,1.00,22,
EMB5012 - Desenho e Modelagem Geométrica,02603,25,3,,2,02603/02606,2,02603/02606,1,Adriano Fagali de Souza,3,Departamento,Departamento,Laboratório Informática,1.50,25,
EMB5012 - Desenho e Modelagem Geométrica,02604,8,3,,3,02602/02604/05605,3,02602/02604/05605,1,Antônio Otaviano Dourado,3,Departamento,Departamento,Laboratório Informática,1.00,8,
EMB5012 - Desenho e Modelagem Geométrica,05605,20,3,,3,02602/02604/05605,3,02602/02604/05605,1,Antônio Otaviano Dourado,3,Departamento,Departamento,Laboratório Informática,1.00,20,
EMB5012 - Desenho e Modelagem Geométrica,02606,25,3,,2,02603/02606,2,02603/02606,1,Adriano Fagali de Souza,3,Departamento,Departamento,Laboratório Informática,1.50,25,
EMB5021 - Mecânica dos Sólidos I,04602,25,2,2,2,04602/04604,2,04602/04604,1,Antônio de Assis Brito Neto,2+2,Departamento,Departamento,Sala Comum,2.00,25,
EMB5021 - Mecânica dos Sólidos I,04603,25,2,2,3,04603/05605/04606,3,04603/05605/04606,1,Carlos Mauricio Sacchelli,2+2,Departamento,Departamento,Sala Comum,1.33,25,
EMB5021 - Mecânica dos Sólidos I,04604,20,2,2,2,04602/04604,2,04602/04604,1,Antônio de Assis Brito Neto,2+2,Departamento,Departamento,Sala Comum,2.00,20,
EMB5021 - Mecânica dos Sólidos I,05605,25,2,2,3,04603/05605/04606,3,04603/05605/04606,1,Carlos Mauricio Sacchelli,2+2,Departamento,Departamento,Sala Comum,1.33,25,
EMB5021 - Mecânica dos Sólidos I,04606,25,2,2,3,04603/05605/04606,3,04603/05605/04606,1,Carlos Mauricio Sacchelli,2+2,Departamento,Departamento,Sala Comum,1.33,25,
EMB5021 - Mecânica dos Sólidos I,04607,25,2,2,2,04607/04608,2,04607/04608,1,Antônio de Assis Brito Neto,2+2,Departamento,Departamento,Sala Comum,2.00,25,
EMB5021 - Mecânica dos Sólidos I,04608,25,2,2,2,04607/04608,2,04607/04608,1,Antônio de Assis Brito Neto,2+2,Departamento,Departamento,Sala Comum,2.00,25,
EMB5022 - Ciência dos Materiais,03601,20,2,2,2,03601/03605,2,03601/03605,1,Wagner Maurício Pachekoski,2+2,Departamento,Departamento,Sala Comum,2.00,20,
EMB5022 - Ciência dos Materiais,03602,20,2,2,2,03602/03606,2,03602/03606,1,Viviane Lilian Soethe,2+2,Departamento,Departamento,Sala Comum,2.00,10,
EMB5022 - Ciência dos Materiais,03603,20,2,2,2,03603/03604,2,03603/03604,1,Viviane Lilian Soethe,2+2,Departamento,Departamento,Sala Comum,2.00,20,
EMB5022 - Ciência dos Materiais,03604,20,2,2,2,03603/03604,2,03603/03604,1,Viviane Lilian Soethe,2+2,Departamento,Departamento,Sala Comum,2.00,20,
EMB5022 - Ciência dos Materiais,03605,20,2,2,2,03601/03605,2,03601/03605,1,Wagner Maurício Pachekoski,2+2,Departamento,Departamento,Sala Comum,2.00,20,
EMB5022 - Ciência dos Materiais,03606,20,2,2,2,03602/03606,2,03602/03606,1,Viviane Lilian Soethe,2+2,Departamento,Departamento,Sala Comum,2.00,10,
EMB5022 - Ciência dos Materiais,03607,20,2,2,2,03607/03608,2,03607/03608,1,Gabriel Benedet Dutra,2+2,Departamento,Departamento,Sala Comum,2.00,20,
EMB5022 - Ciência dos Materiais,03608,20,2,2,2,03607/03608,2,03607/03608,1,Gabriel Benedet Dutra,2+2,Departamento,Departamento,Sala Comum,2.00,20,
EMB5026 - Ergonomia e Segurança,04601,12,2,,2,04601/06603,2,04601/06603,1,Andréa Holz Pfutzenreuter,2,Departamento,Departamento,Sala Comum,1.00,12,
EMB5026 - Ergonomia e Segurança,06603,25,2,,2,04601/06603,2,04601/06603,1,Andréa Holz Pfutzenreuter,2,Departamento,Departamento,Sala Comum,1.00,25,
EMB5032 - Avaliação de Impactos Ambientais,04601,10,2,,3,04601/06606/07605,3,04601/06606/07605,1,Roni Matheus Severis,2,Departamento,Departamento,Sala Comum,0.67,10,
EMB5032 - Avaliação de Impactos Ambientais,09602,25,2,,2,05603/09602,2,05603/09602,1,Roni Matheus Severis,2,Departamento,Departamento,Sala Comum,1.00,25,
